1,1,Rataja Macieja,98-311
2,1,Parkowa,26-038
3,2,Karłowicza Mieczysława,64-592
4,2,Osiedlowa,03-980
5,3,Ligonia Juliusza,23-422
6,3,Bałtycka,25-060
7,4,Wyzwolenia,43-655
8,4,Leśna,37-657
9,5,Kolejowa,47-717
10,5,Orkana Władysława,90-963
11,6,Kościuszki Tadeusza,70-156
12,6,Słoneczna,49-840
13,7,Gnieźnieńska,42-276
14,7,Zachodnia,88-543
15,8,Azaliowa,08-324
16,8,Sikorskiego Władysława,62-876
17,9,Szczęśliwa,64-628
18,9,Jagiellońska,75-697
19,10,Jagodowa,83-228
20,10,Lotnicza,58-688
21,11,Beskidzka,30-070
22,11,Chłodna,64-594
23,12,Ciasna,93-708
24,12,Podgórna,50-721
25,13,Ogrodowa,45-957
26,13,Przyjaźni,80-516
27,14,Wojska Polskiego,57-349
28,14,Gnieźnieńska,30-336
29,15,Wczasowa,59-527
30,15,Grabowa,26-326
31,16,Wschodnia,08-986
32,16,Paderewskiego Ignacego,86-859
33,17,Piłsudskiego Józefa,63-461
34,17,Sienna,80-888
35,18,Północna,06-940
36,18,Długosza Jana,23-407
37,19,Jarzębinowa,11-634
38,19,Witosa Wincentego,03-689
39,20,Średnia,15-226
40,20,Radosna,49-188
41,21,Skośna,87-604
42,21,Siemiradzkiego Henryka,61-152
43,22,Olimpijska,49-079
44,22,Cieszyńska,90-466
45,23,Żeglarska,82-770
46,23,Królewska,62-419
47,24,Mickiewicza Adama,69-865
48,24,Słowicza,13-396
49,25,Jałowcowa,34-505
50,25,Sądowa,47-247
51,26,Poznańska,14-974
52,26,Gałczyńskiego Konstantego Ildefonsa,79-071
53,27,Rzeczna,04-084
54,27,Wczasowa,96-286
55,28,Podhalańska,84-779
56,28,Daszyńskiego Ignacego,09-442
57,29,Kowalska,95-981
58,29,Jasna,23-164
59,30,Cegielniana,45-888
60,30,Tulipanowa,75-496
61,31,Rolnicza,83-672
62,31,Częstochowska,64-222
63,32,Racławicka,61-926
64,32,Zwycięstwa,33-581
